Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,Latitude,Longitude
355,St. Anton (Ski Arlberg),Austria,2811,1270,53,130,123,51,304,Yes,No,53,45,15,113,145127,747,47.1947751,10.160176
356,Lech (Ski Arlberg),Austria,2811,1270,53,130,123,51,304,Yes,No,53,45,15,113,145127,747,47.1947751,10.160176
357,Zürs (Ski Arlberg),Austria,2811,1270,53,130,123,51,304,Yes,No,53,45,15,113,145127,747,47.1947751,10.160176
358,St. Christoph (Ski Arlberg),Austria,2811,1270,53,130,123,51,304,Yes,No,53,45,15,113,145127,747,47.1947751,10.160176
359,Sierra Nevada-Pradollano,Spain,3282,2100,47,50,49,7,107,Yes,Yes,5,14,2,21,59205,350,37.0928621,-3.3995466
360,St. Johann in Tirol,Austria,1604,659,44,16,23,3,43,No,Yes,12,4,4,20,21100,260,47.5221901,12.4308125
361,Bad Gastein,Austria,2300,860,52,30,52,2,86,Yes,No,10,9,7,26,32699,800,47.1140887,13.132661
362,Kronplatz (Plan de Corones),Italy,2275,973,54,52,42,25,119,Yes,Yes,6,5,21,32,71205,450,46.7386315,11.9576188
363,Gargellen,Austria,2300,1423,47,20,5,2,28,Yes,No,5,3,1,9,10650,83,46.97088,9.91818
364,Hochschwarzeck,Germany,1385,1030,22,4,0,0,4,No,No,3,1,0,4,2880,0,47.6273257,12.9056739
365,Arcalís-Ordino (Vallnord),Andorra,2625,1940,37,13,14,3,30,Yes,No,10,4,1,15,14240,106,42.6317345,1.499825
366,Hemsedal,Norway,1450,620,46,29,10,4,44,Yes,Yes,15,6,0,21,22921,325,60.86306480000000,8.552376000000000
367,Sölden,Austria,3340,1350,53,70,44,29,144,Yes,Yes,12,16,8,36,70370,363,46.9654937,11.0076232
368,Stubai Glacier,Austria,3212,1697,46,19,15,4,38,Yes,No,14,7,5,26,39784,69,47.0106285,11.1550485
369,Elfer Neustift,Austria,2080,981,29,0,7,0,7,No,No,3,0,1,4,2980,0,47.0825,11.312778
370,Val Gardena,Italy,2518,1236,54,52,105,18,175,Yes,No,29,41,14,84,121914,630,46.5597584,11.7049259
371,Val Thorens (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.2859014,6.584810700000000
372,Montgenèvre (Via Lattea),France,2749,1372,48,96,220,84,400,No,Yes,29,35,7,71,96433,0,44.9333259,6.7502377
373,Sauze d’Oulx (Via Lattea),Italy,2749,1372,48,96,220,84,400,No,Yes,29,35,7,71,96433,0,44.9560752,6.8815184
374,Gressoney - La-Trinite (Monterosa Ski),Italy,3275,1212,43,23,94,15,132,Yes,No,9,9,12,30,31984,655,45.83664900000000,7.731544
375,Champoluc (Monterosa Ski),Italy,3275,1212,43,23,94,15,132,Yes,No,9,9,12,30,31984,655,45.8327328,7.7426748
376,Zauchensee,Austria,2188,1000,52,23,16,4,44,Yes,No,9,6,4,19,25988,113,47.2932257,13.4568449
